state_prov,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,total
Alabama,0,0,0,1,0,0,2,1,1,2,7
Arkansas,0,0,0,0,0,0,0,1,1,1,3
Kansas,0,1,0,0,0,0,0,0,0,0,1
Kentucky,1,3,5,3,1,3,2,2,3,1,24
Michigan,0,0,1,0,0,0,0,0,0,0,1
Minnesota,0,0,1,0,1,0,1,0,0,0,3
New York,2,0,1,0,0,0,0,0,0,0,3
North Carolina,1,4,0,2,1,0,3,0,3,2,16
Ohio,0,1,2,2,0,1,0,0,0,0,6
Oregon,0,1,0,0,0,1,1,1,2,0,6
Pennsylvania,0,0,0,0,0,1,0,0,1,0,2
Rhode Island,0,1,0,0,0,0,0,0,0,0,1
Tennessee,4,1,1,2,2,3,1,4,0,3,21
Virginia,0,0,0,0,0,1,0,0,0,0,1
Washington,0,0,0,1,0,0,0,0,0,1,2
Wisconsin,2,0,0,1,1,0,0,2,3,1,10
Arizona,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0
